Year,Pitch Type,Velocity,Pitch Outcome,Zone,Spin Rate,Plate Appearance Outcome
2018,Split-Finger,83.0,called_strike,2.0,1232.0,strikeout
2018,Sweeper,76.9,called_strike,6.0,2212.0,
2018,4-Seam Fastball,91.7,called_strike,4.0,2073.0,
2018,4-Seam Fastball,90.6,ball,14.0,2149.0,
2018,Sweeper,76.6,hit_into_play,8.0,2221.0,field_out
2018,Sweeper,77.7,swinging_strike,12.0,2230.0,
2018,4-Seam Fastball,91.4,ball,14.0,2151.0,
2018,Sweeper,78.1,blocked_ball,14.0,2261.0,walk
2018,Sweeper,77.7,foul,9.0,2243.0,
2018,4-Seam Fastball,91.5,called_strike,2.0,1986.0,
2018,4-Seam Fastball,92.1,ball,14.0,2316.0,
2018,4-Seam Fastball,91.9,ball,14.0,2157.0,
2018,4-Seam Fastball,91.3,swinging_strike,11.0,2223.0,
2018,4-Seam Fastball,95.2,ball,14.0,2273.0,
2018,4-Seam Fastball,97.3,hit_into_play,8.0,1914.0,single
2018,Curveball,73.6,ball,13.0,2303.0,
2018,Sweeper,84.4,swinging_strike,14.0,2387.0,strikeout
2018,Sweeper,82.2,swinging_strike,14.0,2280.0,
2018,Sweeper,80.7,swinging_strike,8.0,2323.0,
2018,4-Seam Fastball,97.9,hit_into_play,13.0,1936.0,field_out
2018,Split-Finger,87.3,ball,14.0,1299.0,
2018,4-Seam Fastball,96.7,called_strike,1.0,2135.0,
2018,4-Seam Fastball,98.1,hit_into_play,3.0,2143.0,double
2018,Sweeper,79.0,called_strike,6.0,2277.0,
2018,Sweeper,76.5,called_strike,12.0,2162.0,
2018,Split-Finger,89.2,hit_into_play,6.0,1349.0,field_out
2018,4-Seam Fastball,97.5,foul,2.0,2052.0,
2018,Split-Finger,86.1,ball,11.0,1041.0,
2018,Sweeper,82.8,foul,2.0,2297.0,
2018,Sweeper,82.1,ball,11.0,2319.0,
2018,4-Seam Fastball,96.5,hit_into_play,4.0,2081.0,field_out
2018,4-Seam Fastball,97.7,ball,11.0,2009.0,
2018,Sweeper,83.2,hit_into_play,12.0,2477.0,single
2018,Split-Finger,90.5,blocked_ball,14.0,1441.0,
2018,4-Seam Fastball,97.8,called_strike,9.0,2150.0,
2018,Sweeper,85.2,ball,14.0,2248.0,
2018,Sweeper,82.9,called_strike,5.0,2262.0,
2018,Curveball,74.6,hit_into_play,14.0,2312.0,field_out
2018,Split-Finger,87.1,hit_into_play,1.0,1303.0,single
2018,4-Seam Fastball,97.3,foul,2.0,2107.0,
2018,Split-Finger,90.0,swinging_strike_blocked,14.0,1298.0,strikeout
2018,4-Seam Fastball,97.7,swinging_strike,3.0,1991.0,
2018,Curveball,74.4,ball,13.0,2342.0,
2018,4-Seam Fastball,97.4,swinging_strike,2.0,2010.0,
2018,Sweeper,83.7,hit_into_play,12.0,2216.0,field_out
2018,4-Seam Fastball,98.9,foul,5.0,2343.0,
2018,Split-Finger,90.6,ball,14.0,1410.0,
2018,4-Seam Fastball,97.1,ball,11.0,2060.0,
2018,4-Seam Fastball,98.3,foul,8.0,2190.0,
2018,4-Seam Fastball,97.9,called_strike,12.0,2228.0,
